experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
MVTec-WRN50-TailW0.55-TopK5-LogdetReg5e-4-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0005,0.55,5,,5,3,True,True,True,True,True,True,True,True,whitening,,0.977,0.9755,0.5235,100.0
MVTec-WRN50-TailW0.6-TailTopK3-TopK5-LogdetReg1e-4-ScaleCtxK5-80ep,mvtec,wide_resnet50_2,15,80,0.0002,16,0,64,8,4,0.0001,0.6,5,3,5,3,True,True,True,True,True,True,True,True,whitening,,0.9826,0.9777,0.531,100.0
MVTec-WRN50-TailW0.6-TopK5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.6,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9827,0.9773,0.529,100.0
MVTec-WRN50-TailW0.65-TailTopK3-TopK5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.65,5,3,3,3,True,True,True,True,True,True,True,True,whitening,,0.9827,0.9776,0.5324,100.0
MVTec-WRN50-TailW0.65-TopK3-TailTopK3-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.65,3,3,5,3,True,True,True,True,True,True,True,True,whitening,,0.9824,0.9781,0.5395,100.0
MVTec-WRN50-TailW0.65-TopK5-TailTopK1-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.65,5,1,5,3,True,True,True,True,True,True,True,True,whitening,,0.9828,0.978,0.543,100.0
MVTec-WRN50-TailW0.65-TopK5-TailTopK3-ScaleK3-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.65,5,3,3,3,True,True,True,True,True,True,True,True,whitening,,0.9831,0.9778,0.5289,100.0
MVTec-WRN50-TailW0.7-TopK3-TailTopK2-LogdetReg2e-4-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0002,0.7,3,2,5,3,True,True,True,True,True,True,True,True,whitening,,0.9815,0.9779,0.5424,100.0
MVTec-WRN50-TailW0.7-TopK3-TailTopK2-ScaleK5-lr3e-4-MAIN,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.7,3,2,5,3,True,True,True,True,True,True,True,True,whitening,,0.9829,0.9782,0.542,100.0
MVTec-WRN50-TailW0.7-TopK3-TailTopK3-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.7,3,3,5,3,True,True,True,True,True,True,True,True,whitening,,0.9826,0.9783,0.5404,100.0
MVTec-WRN50-TailW0.7-TopK5-LogdetReg2e-4-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0002,0.7,5,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9819,0.9779,0.5418,100.0
MVTec-WRN50-TailW0.7-TopK5-TailTopK3-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.7,5,3,5,3,True,True,True,True,True,True,True,True,whitening,,0.983,0.9783,0.5404,100.0
MVTec-WRN50-TailW0.75-TopK5-TailTopK2-ScaleK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.75,5,2,5,3,True,True,True,True,True,True,True,True,whitening,,0.9812,0.9782,0.5449,100.0
MVTec-WRN50-TailW0.8-TopK5-TailTopK3-ScaleK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.8,5,3,5,3,True,True,True,True,True,True,True,True,whitening,,0.9811,0.9783,0.5447,100.0
